Session,Timestamp,ThisStep,NextStep
H03T2,0:01:26,S3,S4
H03T2,0:01:47,S4,S5
H03T2,0:01:50,S5,S6
H03T2,0:01:54,S6,S2
H03T2,0:03:10,S2,S3
H03T2,0:03:22,S3,S4
H03T2,0:03:55,S4,S5
H03T2,0:03:57,S5,S6
H03T2,0:04:00,S6,S3
H03T2,0:04:22,S3,S4
H03T2,0:04:48,S4,S5
H03T2,0:04:50,S5,S6
H03T2,0:05:00,S6,S4
H03T2,0:05:08,S4,S5
H03T2,0:05:10,S5,S6
H03T2,0:05:20,S6,S4
H03T2,0:05:33,S4,S5
H03T2,0:05:34,S5,S6
H03T2,0:05:49,S6,S7
H03T2,0:06:00,S7,S4
H03T2,0:07:00,S4,S3
H03T2,0:07:21,S3,S4
H03T2,0:09:06,S4,S3
H03T2,0:09:20,S3,S4
H03T2,0:10:14,S4,S5
H03T2,0:10:16,S5,S6
H03T2,0:10:19,S6,S4
H03T2,0:10:25,S4,S5
H03T2,0:10:28,S5,S6
H03T2,0:10:32,S6,S4
H03T2,0:10:42,S4,S5
H03T2,0:10:46,S5,S6
H03T2,0:11:00,S6,S7
H03T2,0:11:15,S7,S4
H03T2,0:12:30,S4,S2
H04T1,0:01:00,S2,S6
H04T1,0:01:12,S6,S4
H04T1,0:02:21,S4,S5
H04T1,0:02:22,S5,S6
H04T1,0:02:30,S6,S4
H04T1,0:02:39,S4,S5
H04T1,0:02:40,S5,S6
H04T1,0:03:00,S6,S4
H04T1,0:03:42,S4,S5
H04T1,0:03:43,S5,S6
H04T1,0:03:45,S6,S4
H04T1,0:03:58,S4,S5
H04T1,0:03:59,S5,S6
H04T1,0:04:00,S6,S4
H04T1,0:04:16,S4,S2
H04T1,0:04:30,S2,S3
H04T1,0:04:39,S3,S4
H04T1,0:05:00,S4,S3
H04T1,0:05:14,S3,S4
H04T1,0:05:59,S4,S5
H04T1,0:06:00,S5,S7
H04T1,0:06:07,S7,S4
H04T1,0:06:39,S4,S5
H04T1,0:06:41,S5,S6
H04T1,0:06:47,S6,S7
H04T1,0:06:51,S7,S3
H04T1,0:06:55,S3,S5
H04T1,0:07:00,S5,S6
H04T1,0:07:03,S6,S4
H04T1,0:07:05,S4,S5
H04T1,0:07:07,S5,S7
H04T1,0:07:16,S7,S5
H04T1,0:07:18,S5,S7
H04T1,0:08:30,S7,S2
H04T1,0:08:45,S2,S3
H04T1,0:08:46,S3,S4
H04T1,0:08:50,S4,S5
H04T1,0:08:52,S5,S6
H04T1,0:09:00,S6,S7
H04T1,0:09:30,S7,S5
H04T1,0:10:00,S5,S4
H04T1,0:10:15,S4,S5
H04T1,0:10:30,S5,S7
H04T1,0:11:00,S7,S6
H04T2,0:02:25,S2,S7
H04T2,0:02:30,S7,S2
H04T2,0:03:43,S2,S4
H04T2,0:04:00,S4,S2
H04T2,0:04:30,S2,S4
H04T2,0:04:59,S4,S5
H04T2,0:05:00,S5,S6
H04T2,0:05:04,S6,S5
H04T2,0:05:08,S5,S6
H04T2,0:05:10,S6,S4
H04T2,0:05:14,S4,S5
H04T2,0:05:18,S5,S7
H04T2,0:05:30,S7,S4
H04T2,0:05:45,S4,S6
H04T2,0:05:55,S6,S4
H04T2,0:06:10,S4,S5
H04T2,0:06:14,S5,S4
H04T2,0:08:22,S4,S5
H04T2,0:08:24,S5,S6
H04T2,0:08:30,S6,S4
